                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.4761,                 1.1177,                0.93631,                0.40788,                0.30215,                 0.2952,                0.17055,                 1.3828,                 1.0466,                0.91394,               0.006106,               0.006106,               0.006106
                     62,                 1.4762,                 1.1219,                0.93688,                0.39721,                0.30225,                0.29309,                0.16926,                 1.3815,                 1.0494,                0.91334,                0.00604,                0.00604,                0.00604
                     63,                 1.4621,                 1.1025,                0.93469,                0.40128,                0.30664,                0.29704,                0.17146,                 1.3811,                 1.0462,                0.91314,               0.005974,               0.005974,               0.005974
                     64,                 1.4712,                 1.1144,                0.93603,                0.41143,                0.30448,                0.29702,                0.17082,                 1.3768,                 1.0415,                0.91162,               0.005908,               0.005908,               0.005908
                     65,                 1.4697,                 1.1102,                0.93745,                0.39761,                  0.304,                0.29697,                0.17132,                 1.3794,                  1.041,                0.91259,               0.005842,               0.005842,               0.005842
                     66,                 1.4696,                 1.1102,                 0.9361,                0.41504,                0.30285,                0.29743,                0.17226,                 1.3793,                 1.0407,                 0.9123,               0.005776,               0.005776,               0.005776
                     67,                 1.4684,                 1.1093,                 0.9353,                0.40999,                0.30742,                0.29996,                0.17304,                 1.3785,                 1.0402,                0.91212,                0.00571,                0.00571,                0.00571
                     68,                 1.4709,                 1.1055,                0.93316,                0.41077,                0.30464,                0.29901,                0.17282,                 1.3743,                  1.038,                0.91142,               0.005644,               0.005644,               0.005644
                     69,                 1.4622,                 1.1036,                0.93297,                0.39946,                0.31009,                  0.299,                0.17195,                  1.372,                 1.0362,                0.91146,               0.005578,               0.005578,               0.005578
                     70,                 1.4667,                 1.1027,                0.93172,                0.40034,                0.30688,                0.30198,                 0.1743,                 1.3712,                  1.034,                0.91036,               0.005512,               0.005512,               0.005512
                     71,                 1.4523,                  1.092,                0.93049,                 0.4159,                0.31221,                0.30477,                0.17621,                 1.3667,                 1.0309,                0.90985,               0.005446,               0.005446,               0.005446
                     72,                  1.458,                 1.0967,                0.93213,                0.41302,                0.30944,                 0.3035,                0.17575,                 1.3679,                 1.0297,                0.91004,                0.00538,                0.00538,                0.00538
                     73,                 1.4517,                 1.0882,                0.93091,                0.41067,                0.30916,                0.30311,                0.17575,                 1.3673,                   1.03,                0.90915,               0.005314,               0.005314,               0.005314
                     74,                 1.4524,                 1.0931,                 0.9307,                 0.4143,                0.30959,                 0.3057,                0.17829,                 1.3645,                 1.0256,                0.90876,               0.005248,               0.005248,               0.005248
