                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.4242,                 1.0441,                0.96654,                  0.412,                0.31213,                0.31026,                0.17726,                 1.3431,                 0.9848,                0.93381,               0.004654,               0.004654,               0.004654
                     84,                 1.4225,                 1.0462,                0.96613,                0.41074,                0.31911,                 0.3121,                 0.1786,                 1.3403,                0.98393,                0.93304,               0.004588,               0.004588,               0.004588
                     85,                 1.4149,                 1.0402,                0.96533,                 0.4212,                0.31372,                0.31211,                0.17903,                 1.3384,                0.98164,                0.93248,               0.004522,               0.004522,               0.004522
                     86,                  1.424,                 1.0427,                0.96757,                 0.4119,                0.31333,                0.31098,                0.17837,                 1.3388,                0.98294,                0.93265,               0.004456,               0.004456,               0.004456
                     87,                 1.4112,                 1.0351,                0.96508,                0.41792,                0.31222,                0.31115,                0.17858,                 1.3397,                0.98212,                0.93284,                0.00439,                0.00439,                0.00439
                     88,                  1.411,                 1.0311,                0.96412,                0.41081,                0.31805,                0.31288,                0.17896,                 1.3375,                0.98042,                 0.9322,               0.004324,               0.004324,               0.004324
                     89,                  1.417,                  1.033,                0.96293,                0.41618,                0.31707,                0.31371,                 0.1798,                 1.3365,                0.97959,                0.93159,               0.004258,               0.004258,               0.004258
                     90,                 1.4129,                 1.0337,                0.96189,                0.40663,                0.31976,                0.31426,                0.18066,                 1.3364,                0.97791,                0.93146,               0.004192,               0.004192,               0.004192
                     91,                 1.4101,                 1.0299,                0.96365,                0.41589,                0.32034,                0.31427,                0.18051,                 1.3367,                0.97689,                0.93106,               0.004126,               0.004126,               0.004126
                     92,                 1.4038,                 1.0237,                0.95991,                0.40788,                0.32078,                0.31451,                0.18021,                 1.3365,                0.97654,                  0.931,                0.00406,                0.00406,                0.00406
                     93,                 1.4009,                 1.0249,                 0.9626,                0.40651,                0.32132,                0.31323,                0.17998,                 1.3356,                0.97553,                 0.9308,               0.003994,               0.003994,               0.003994
                     94,                 1.4075,                 1.0244,                0.96101,                0.41069,                0.32038,                0.31312,                0.17987,                 1.3352,                0.97627,                 0.9306,               0.003928,               0.003928,               0.003928
                     95,                 1.3949,                  1.015,                0.95971,                0.41429,                0.31922,                 0.3143,                0.18043,                 1.3337,                0.97386,                0.93042,               0.003862,               0.003862,               0.003862
                     96,                 1.4059,                 1.0253,                0.96124,                 0.4117,                0.31933,                 0.3147,                0.18063,                  1.332,                0.97323,                0.93011,               0.003796,               0.003796,               0.003796
                     97,                  1.396,                 1.0144,                0.95869,                0.41574,                0.31889,                0.31487,                 0.1799,                 1.3316,                0.97381,                0.92985,                0.00373,                0.00373,                0.00373
                     98,                 1.3982,                 1.0118,                0.96132,                 0.4199,                0.31695,                0.31557,                0.18086,                 1.3301,                0.97242,                 0.9293,               0.003664,               0.003664,               0.003664
                     99,                  1.399,                 1.0128,                0.96038,                0.42452,                0.31691,                0.31633,                0.18145,                   1.33,                0.97196,                0.92944,               0.003598,               0.003598,               0.003598
                    100,                 1.3983,                  1.017,                0.95954,                0.42692,                0.31213,                0.31572,                0.18149,                 1.3306,                0.97066,                0.92944,               0.003532,               0.003532,               0.003532
                    101,                 1.3963,                 1.0082,                  0.958,                0.42075,                0.31509,                0.31597,                0.18138,                 1.3296,                0.96949,                0.92915,               0.003466,               0.003466,               0.003466
                    102,                 1.3936,                 1.0119,                0.95853,                 0.4201,                0.31579,                0.31567,                 0.1814,                 1.3287,                0.96955,                  0.929,                 0.0034,                 0.0034,                 0.0034
                    103,                 1.3917,                 1.0054,                0.95561,                0.42498,                0.31399,                0.31629,                 0.1819,                  1.329,                0.96846,                0.92879,               0.003334,               0.003334,               0.003334
                    104,                 1.3988,                 1.0139,                 0.9596,                0.42598,                0.31575,                0.31676,                0.18255,                 1.3282,                0.96799,                0.92896,               0.003268,               0.003268,               0.003268
                    105,                 1.3943,                 1.0102,                0.96009,                0.42002,                0.31784,                0.31803,                 0.1831,                 1.3271,                0.96784,                0.92864,               0.003202,               0.003202,               0.003202
                    106,                 1.3889,                 1.0065,                0.95528,                0.42098,                0.32111,                0.31781,                0.18329,                  1.326,                0.96732,                0.92855,               0.003136,               0.003136,               0.003136
                    107,                 1.3861,                0.99924,                0.95518,                0.41767,                0.31782,                0.31788,                0.18329,                 1.3256,                0.96661,                0.92832,                0.00307,                0.00307,                0.00307
                    108,                 1.3899,                 1.0015,                 0.9577,                0.41662,                0.31981,                0.31855,                 0.1837,                 1.3271,                0.96682,                0.92851,               0.003004,               0.003004,               0.003004
                    109,                 1.3823,                 1.0043,                0.95956,                0.41947,                0.32035,                0.31825,                0.18349,                 1.3262,                0.96713,                0.92822,               0.002938,               0.002938,               0.002938
                    110,                 1.3832,                0.99554,                0.95392,                0.41827,                0.32027,                0.31818,                 0.1833,                 1.3252,                0.96681,                0.92793,               0.002872,               0.002872,               0.002872
                    111,                 1.3835,                0.99582,                0.95315,                0.41759,                0.32111,                0.31871,                0.18413,                 1.3261,                0.96652,                0.92807,               0.002806,               0.002806,               0.002806
                    112,                 1.3753,                0.99241,                0.95489,                  0.414,                0.32254,                0.31921,                 0.1843,                 1.3255,                0.96485,                0.92809,                0.00274,                0.00274,                0.00274
                    113,                 1.3819,                 0.9942,                0.95528,                0.41918,                0.31982,                 0.3195,                0.18431,                 1.3248,                0.96452,                0.92787,               0.002674,               0.002674,               0.002674
                    114,                 1.3798,                0.99251,                0.95616,                0.41788,                0.32197,                0.31989,                0.18473,                 1.3248,                0.96434,                0.92779,               0.002608,               0.002608,               0.002608
                    115,                 1.3793,                0.98553,                0.95202,                0.41554,                0.32282,                0.31942,                0.18477,                 1.3244,                0.96366,                 0.9275,               0.002542,               0.002542,               0.002542
                    116,                 1.3748,                0.98524,                0.95287,                 0.4213,                0.32337,                0.32088,                0.18521,                 1.3237,                0.96373,                0.92732,               0.002476,               0.002476,               0.002476
                    117,                  1.375,                0.98513,                0.95306,                  0.419,                0.32468,                0.32037,                0.18499,                 1.3232,                0.96364,                0.92713,                0.00241,                0.00241,                0.00241
                    118,                 1.3793,                0.98952,                0.95383,                0.42314,                0.32307,                0.32051,                0.18502,                  1.323,                0.96327,                 0.9271,               0.002344,               0.002344,               0.002344
                    119,                 1.3783,                0.98898,                0.95248,                0.42622,                0.32198,                0.31981,                0.18474,                 1.3226,                0.96242,                0.92699,               0.002278,               0.002278,               0.002278
